id,Name,Minimum GPA,Maximum Age,link,Majors,Description
1,Türkiye Scholarships,2.8,21,https://www.turkiyeburslari.gov.tr/,"Business & Economics, Health & Medicine, STEM, Arts & Humanities, Law, Education","Türkiye Scholarships is a comprehensive, government-funded program designed to attract top international talent to Türkiye's universities. It provides a multitude of benefits that effectively make studying in Türkiye tuition-free and largely expense-free for successful candidates. The program covers university and program placement, tuition fees, a monthly stipend, accommodation, health insurance, a one-time flight ticket, and a one-year Turkish language course. It is available for undergraduate, master's, PhD, and research degrees in a wide range of subjects. The scholarship is highly competitive and merit-based, aiming to build a global network of future leaders while promoting global academic cooperation and cultural understanding."
3,Eiffel Excellence Scholarship (France),3.2,29,https://www.campusfrance.org/en/the-france-excellence-eiffel-scholarship-program,"STEM, Business & Economics, Health & Medicine","The France Excellence Eiffel Scholarship Program, developed by the French Ministry for Europe and Foreign Affairs, enables French higher education institutions to attract top international students to enroll in their master's and PhD programs. It aims to train future foreign decision-makers in the private and public sectors in priority areas of study, including Science and Technology, and Humanities and Social Sciences. The scholarship provides a monthly allowance, international and national transportation, insurance, housing searches, and cultural activities. However, it does not cover tuition fees. It is awarded for up to 36 months depending on the level of study."
4,DAAD EPOS Scholarship (Germany),3,32,https://www.daad.de/en/,STEM,"The DAAD EPOS Scholarship (Development-Related Postgraduate Courses) is a fully funded program by the German Academic Exchange Service (DAAD). It supports highly qualified professionals from developing countries who wish to pursue development-related master's and PhD studies in Germany. The scholarship covers full tuition, a monthly stipend, health insurance, travel allowance, and a monthly rent subsidy. It targets individuals with at least two years of professional experience and focuses on programs that contribute to economic development, social progress, and environmental sustainability. Graduates are expected to return to their home countries to contribute to positive development initiatives."
5,Gates Cambridge Scholarship (UK),3.7,24,https://www.gatescambridge.org/,"Other, STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education","The Gates Cambridge Scholarship is a prestigious international postgraduate award established by the Bill and Melinda Gates Foundation. It offers outstanding students from outside the UK full funding to pursue a postgraduate degree in any subject at the University of Cambridge. The scholarship covers the full cost of studying, including tuition fees, a maintenance allowance, airfare, and visa costs. Scholars are selected based on four criteria: outstanding intellectual ability, reasons for choice of course, a commitment to improving the lives of others, and leadership potential. The program aims to build a global network of future leaders."
6,"Clarendon Scholarship (University of Oxford, UK)",3.7,24,https://www.ox.ac.uk/admissions/graduate/fees-and-funding/funding/clarendon,"Other, STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law","The Clarendon Scholarship is a major, fully-funded graduate scholarship scheme at the University of Oxford. It awards over 200 new scholarships each year to academically outstanding students from around the world. The scholarship covers course fees in full and provides a generous annual grant for living expenses for the entire period of fee liability. It is open to all nationalities and applies to all full-time and part-time master's and DPhil courses. Selection is based entirely on academic excellence and research potential. Applicants to Oxford are automatically considered for Clarendon without needing a separate application."
7,"Schwarzman Scholars (Tsinghua University, China)",3.2,28,https://www.schwarzmanscholars.org/,Business & Economics,"Schwarzman Scholars is a highly selective, fully-funded, one-year master's degree program in Global Affairs at Tsinghua University in Beijing, China. Designed to meet the challenges of the 21st century, it prepares the next generation of global leaders by deepening their understanding of China and the world. The program provides unparalleled learning opportunities through a rigorous academic curriculum, intensive leadership training, a mentor network, high-level interactions with Chinese leaders, and deep-dive travel seminars across China. The scholarship covers all expenses, including tuition, accommodation, travel, and a subsistence allowance, immersing students in an international community of innovators."
8,Swiss Government Excellence Scholarships (Switzerland),3.5,35,https://www.sbfi.admin.ch/en/swiss-government-excellence-scholarships,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","The Swiss Government Excellence Scholarships are awarded to outstanding foreign scholars and artists to pursue research or further studies in Switzerland. Funded by the Swiss Confederation, the program aims to promote international exchange and research cooperation between Switzerland and over 180 other countries. The scholarships are available for postgraduate researchers in any discipline (who hold a master's degree as a minimum) who plan to come to Switzerland to pursue research or further studies at doctoral or post-doctoral level. The scholarship covers a monthly payment, exemption of tuition fees, health insurance, airfare, and a special lodging allowance."
9,"ASEAN Undergraduate Scholarship (NUS, Singapore)",3.5,24,https://www.nus.edu.sg/oam/scholarships/,STEM,"The ASEAN Undergraduate Scholarship is a freshmen scholarship offered by the National University of Singapore (NUS) to support outstanding students from ASEAN member countries, excluding Singapore. It aims to attract top talent with strong leadership qualities, good co-curricular records, and outstanding high school results. The scholarship covers 100% of subsidized undergraduate tuition fees, an annual living allowance, an annual accommodation allowance, and a one-time computer allowance upon enrollment. While there is no bond attached to the scholarship itself, recipients are required to take up the Ministry of Education (MOE) Tuition Grant, which carries a three-year work obligation."
10,SBW Berlin Scholarship (Germany),3,30,https://sbw.berlin/en/portfolio-items/sbw-berlin-scholarship,Business & Economics,"The SBW Berlin Scholarship for International Students supports talented young people from developing countries who have demonstrated social commitment. The program funds a bachelor's or master's degree at a university or university of applied sciences in Berlin or Potsdam. In exchange, scholarship recipients must develop and implement a social project at a non-profit organization in their home country during their studies. The scholarship covers tuition fees, a monthly stipend, accommodation in shared student flats, and a travel allowance. After graduation, recipients are expected to continue their social projects in their home countries using their newly acquired skills."
11,Taiwan ICDF Scholarship,3.0,24,https://www.icdf.org.tw/,STEM,"The Taiwan ICDF Scholarship provides full financial support for international students from partner countries to pursue master's and doctoral degree programs at accredited universities in Taiwan. It aims to foster socio-economic growth in partner countries by cultivating highly talented individuals. The scholarship covers tuition fees, accommodation, textbook costs, a monthly stipend, and a one-way economy class airfare. It is available for English-taught programs across various fields, including STEM. Applicants must meet specific nationality, age, and academic requirements and must apply directly to the partner university. It does not cover bachelor's degrees for all countries."
